"id","title","category-level-one","category-level-two","cook-type","total-btu","total-grill-size","cooking-temperature-range","primary-cooking-space","number-of-racks","side-burner","sear-functionality","stand-type","grill-type","gluten-free","low-or-sodium-free","suger-free","no-msg","dimensions","rear-rotisserie-burner"
"gid://shopify/Product/6554677608600","Napoleon - 30"" X 16"" Small Double Door","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677641368","Ooni Grizzler Pan","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677706904","WEBER Genesis II EX-335 Smart Gas Grill","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677739672","John Henry's - Texas Brisket Rub","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677772440","Yoder YS480 Antenna, Rubber Duck 2.4 GHz","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677805208","Yoder YS640 Power Cord","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677837976","Fireboard Extreme Probe Pack","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677870744","Fireboard 2 Magnetic Base","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677903512","Big Green Egg - Multi Fit Cover J","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677936280","Big Green Egg - Multi Fit Cover H","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677969048","Big Green Egg - Multi Fit Cover G","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678001816","Big Green Egg - Multi Fit Cover D","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678067352","Big Green Egg - Multi Fit Cover A","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678100120","Luxe Bucket $129.99 V.6.129","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678165656","Luxe Bucket $99.99 V.5.99","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678198424","Luxe Bucket $79.99 V.10.79","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678329496","Luxe Bucket $49.99 V.10.49","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678427800","Luxe Bucket $29.99 V.3.29","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678624408","Weber Wood Grill Scraper","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678755480","Weber Wet Smoke Kit","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678853784","Weber Connect 6 Piece Mounting Kit","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678952088","Weber Connect Storage & Travel Case","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679017624","Weber Stainless Steel Cooking Grates - Smokefire EX & Spirit 300","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679115928","Weber Butcher Paper","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679181464","Weber Prep and Serve Cutting Board","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679312536","Weber Master-Touch Premium 22"" Charcoal Grill","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679345304","WEBER Handle kit w/shield, black, '15 - 60037","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679378072","WEBER BEZEL 63027","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679410840","Luxe Bucket $49.99 V.9.49","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679509144","Luxe Bucket $129.99 V.5.129","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679541912","Luxe Bucket $49.99 V.8.49","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679607448","Napoleon - 36"" X 16"" Single Door & Double Drawer Combo","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679771288","Napoleon - 36"" X 24"" Single Door & Waste Bin Drawer","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554679935128","Napoleon - 36"" X 24"" Single Door & Standard Drawer","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680000664","Napoleon - 36"" X 24"" Single Door & Triple Drawer Combo","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680098968","Napoleon - 42"" X 8"" Extra Large Single Drawer","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680164504","Napoleon - 42"" X 16"" Small Double Door","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680230040","Napoleon - 42"" X 16"" Single Door & Double Drawer Combo","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680328344","Napoleon - 42"" X 24"" Large Door & Waste Bin Drawer","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680426648","Napoleon - 42"" X 24"" Large Single Door & Triple Drawer","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680492184","Napoleon - 24"" Multi-Functional Beverage Center","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680524952","BGE Large Ultimate Kit","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680590488","BGE XLarge Ultimate Kit","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680623256","Luxe Bucket $129.99 V.4.129","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680656024","Luxe Bucket $99.99 V.4.99","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680721560","Luxe Bucket $79.99 V.9.79","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680754328","Luxe Bucket $49.99 V.7.49","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680787096","Napoleon - Built-In 500 Series Inline Dual Range Top Burner","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680852632","Napoleon - Built In 500 Series 32"" Grill Head","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680885400","Napoleon - Built In 700 Series Single Infrared Drop-In Burner","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554680918168","Napoleon - Built In 700 Series Range Top Drop-in Burner","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554681016472","Napoleon - Built In 700 Series Inline Dual Range Top Burner","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554681082008","Napoleon - Built In 700 Series Dual Range Top Burner","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554681114776","Napoleon - Built-In 700 Series Power Burner","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554681147544","Napoleon - Built-in 700 Series Dual Infrared Burner","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554681213080","Napoleon - 700 Series 32"" RB Built-In Grill Head","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554681245848","Napoleon - 700 Series 38"" RB Built-In Grill Head","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554681311384","Napoleon - 700 Series 44"" RB Built-In Grill Head","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554681409688","Luxe Bucket $79.99 V.8.79","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554681442456","Sugar Sin Gummies","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554681507992","Dufflet- Dark Chocolate Sponge Toffee","","","","","","","","","","","","","","","","","",""
